filename,al10_drop,al10_last,al10_mean,al10_min,al10_p10,al10_slope,al10_std,al_drop,al_last,al_mean,al_min,al_p10,al_slope,al_std,mot_max,mot_mean,sf10_drop,sf10_last,sf10_mean,sf10_min,sf10_p10,sf10_slope,sf10_std,sf_drop,sf_last,sf_mean,sf_min,sf_p10,sf_slope,sf_std,worst_patch
exact-r1__753c5537a0badf41766fc2e264e9432a3b9c71fb__爆炸菇（爆炸前）__v735__eyemask__cf61d26d__c0.mp4,0.8414778,0.15035456,0.46228352,0.15035456,0.15696356,-0.02498052401740561,0.22438715,0.26678407,0.72846806,0.84540534,0.72846806,0.7433867,-0.00788984774600846,0.07031198,0.15135198831558228,0.08252022415399551,0.2896211,0.70221126,0.8049358,0.70221126,0.72563046,-0.006216065391250278,0.069267906,0.1157375,0.87951463,0.9279255,0.87951463,0.8931962,-0.0028775747232286423,0.026833234,0.2643512785434723
exact-r2__10c0ac04aeb5d2daab305c2cf0c7c468606b21ab__蘑菇力__v100__coffee__edadca69__c0.mp4,0.76454985,0.61461926,0.5427278,0.18814231,0.24095188,-0.013459956545839195,0.2050614,0.28612435,0.87273806,0.8334495,0.68769276,0.6987821,-0.004651170650960893,0.077444546,0.1841549277305603,0.08459803462028503,0.22636676,0.85755146,0.83582765,0.73060143,0.7480732,-0.003604633358156255,0.056768242,0.11317682,0.9337256,0.91804755,0.86898553,0.8784512,-0.0018185619780197745,0.02935759,0.22975248098373413
base-noprop__f64e1c17ba334819ca417f708e64e97d2aba7b05__粽子菇__v0__e05364c5__c0.mp4,0.5871786,0.9146651,0.7541379,0.3602969,0.42024487,0.00047457017917407337,0.19768809,0.15579534,0.95113957,0.9101368,0.81323576,0.82293135,-3.942010902132905e-05,0.052619122,0.09566265344619751,0.0321161113679409,0.15954578,0.91575336,0.8714865,0.7879298,0.7982298,-0.00044117043376439594,0.050966285,0.0704968,0.9602816,0.94225293,0.9053675,0.9098251,-0.00017692837790540572,0.022672506,0.368913471698761
generic__929b88500dd26c68400cb2ef5015e7db4f37d194__汉堡菇__v586__coffee__880a1ceb__c0.mp4,0.68513626,0.8138815,0.72595894,0.30068845,0.32339454,-0.018895618352494224,0.2182715,0.16464323,0.91769546,0.90880007,0.825859,0.8290262,-0.004524979843452514,0.045727145,0.10007846355438232,0.04597972705960274,0.16909122,0.8878077,0.88984364,0.8167335,0.8219125,-0.004037379747322894,0.0406639,0.068494976,0.9519588,0.95477974,0.9250668,0.92768824,-0.0016824120118212806,0.016361443,0.5412051677703857
exact-r1__f142944f6415cf4e140989e4620f7f0f23645f52__毒蘑菇__v1518__glasses__b904a7f8__c0.mp4,0.6230603,0.41216925,0.52245694,0.35501295,0.4050442,-0.018238449137908213,0.1633734,0.19042635,0.803023,0.8445651,0.8002813,0.8028733,-0.006469970576376805,0.05189859,0.10969680547714233,0.07459685951471329,0.23600078,0.7519344,0.8018199,0.74207234,0.75211394,-0.0070957317653852015,0.054743804,0.09777498,0.8961732,0.91916186,0.89392626,0.8958683,-0.0032865200707092542,0.024520757,0.49005821347236633
exact-r1__f5ba1ce13b37950d02d7e32e049506ff144abc71__蘑菇力__v1549__eyemask__52d2a75b__c0.mp4,0.5971896,0.42682695,0.5901302,0.3946907,0.41887733,-0.023147252414066337,0.18408427,0.17948979,0.8273003,0.8832703,0.81505966,0.81995326,-0.0069583713301557045,0.0517323,0.08415389060974121,0.05763258785009384,0.203937,0.7997366,0.8487231,0.7879432,0.7955886,-0.0077430982834736884,0.062188666,0.097504616,0.90497935,0.9409029,0.89776933,0.90308434,-0.004014426952765403,0.028239071,0.24058738350868225
base-props__e6a6c1053d5efe2e36d668270cf9f895b650e2a1__炸虾菇__v898__glasses__1df276f6__c0.mp4,0.86206806,0.9381622,0.67821085,0.12871134,0.22129938,-0.02180124527734262,0.29791242,0.22919065,0.9636844,0.9006947,0.7647236,0.7920736,-0.005795842397354322,0.07426282,0.10871446132659912,0.04244457557797432,0.41061807,0.94260556,0.83207345,0.58016133,0.64970547,-0.009005944130448947,0.12903228,0.124801695,0.9729151,0.94313926,0.8693566,0.88981736,-0.002987812630272675,0.038029153,0.2989404797554016
exact-r1__1669dffeba5d47e88d54192d09226ea6f70233e4__爆炸菇（爆炸前）__v145__glasses__ce84e222__c0.mp4,0.9177046,0.04154018,0.23198082,0.04154018,0.042087883,-0.033727938596438994,0.2887311,0.60516346,0.37473848,0.5536,0.3642156,0.37432522,-0.026186771101866797,0.2025204,0.38180771470069885,0.2568652331829071,0.4458295,0.55009323,0.682504,0.5134939,0.5387232,-0.01886252034087426,0.13854152,0.2800151,0.7203791,0.8104653,0.70019996,0.7152574,-0.012752368162743197,0.09284788,0.4079931378364563
exact-r1__b84a69fca80b7f3ae9dfc999d5b9896f6e7dc072__毒蘑菇__v1148__crown__0de8e285__c0.mp4,0.868181,0.25133857,0.25918895,0.12312378,0.14624731,-0.014384138592971652,0.17179887,0.4390511,0.7165158,0.7111162,0.55423355,0.56296,-0.006512706164314828,0.09669808,0.20849210023880005,0.14272212982177734,0.5314359,0.6768941,0.6811514,0.45986897,0.5113021,-0.011293878668381767,0.12177511,0.27994215,0.8669735,0.8538384,0.7155477,0.7497007,-0.003706845134614487,0.06416149,0.30151671171188354
generic__e6a6c1053d5efe2e36d668270cf9f895b650e2a1__炸虾菇__v898__glasses__1df276f6__c0.mp4,0.7955947,0.5143585,0.43554017,0.16906926,0.20723616,-0.005967541277526394,0.21438259,0.3850736,0.7858228,0.7451753,0.59291816,0.6211879,-0.0017440104084052576,0.105237916,0.2597197890281677,0.14983545243740082,0.21033007,0.82359225,0.82601,0.7543339,0.78462464,-0.0019719461678516514,0.045664936,0.13026541,0.9057152,0.8950108,0.85263795,0.856794,-0.0010333783895130743,0.03237355,0.49582839012145996
