filename,adj_mean,adj_min,marg_drop,marg_end_drop,marg_first,marg_last,marg_lowfrac,marg_max,marg_mean,marg_min,marg_slope,marg_std,oth_mean,own_drop,own_end_drop,own_first,own_gap12,own_last,own_lowfrac,own_max,own_mean,own_min,own_slope,own_std,own_switch,src_drop,src_end_drop,src_first,src_last,src_lowfrac,src_max,src_mean,src_min,src_slope,src_std
exact-r2__470a7aa47f649f4fe10fe13dbfba445b46e71eb7__粽子菇__v452__scooter__0475c49d__c0.mp4,0.9954535365104675,0.9874228835105896,0.015559807,0.0052499026,-0.022671416,-0.027921319,0.15625,-0.022671416,-0.028844964,-0.038231224,-0.0002639091155789471,0.004139197,0.18202120065689087,0.043753088,-0.02968508,0.150241,0.01381258387118578,0.17992608,0.09375,0.22447667,0.15317625,0.106487915,0.0025861343161320428,0.03442903,0.0,0.053397298,0.030522585,1.0000002,0.96947765,0.1875,1.0000002,0.9751178,0.94660294,-0.001496759644788699,0.01679687
base-props__7674da5ba81befe4b8a9039e9c6b34219152192f__毒蘑菇__v461__glasses__10f004d9__c0.mp4,0.9786570072174072,0.9204435348510742,0.022859395,-0.010456026,0.006407857,0.016863883,0.21875,0.024321795,0.008805983,-0.016451538,0.0008906151804406619,0.011272575,0.5036589503288269,0.13577884,-0.01845944,0.54136765,0.003720032051205635,0.5598271,0.1875,0.56882524,0.512465,0.4055888,-0.0009659560796015364,0.04677333,0.1935483870967742,0.2482689,0.014909506,1.0,0.9850905,0.21875,1.0,0.91962266,0.7517311,-0.0027316450264271894,0.07525509
base-noprop__3ea8cf079e959693153dd04695b6f05e21f1dca3__蘑菇力__v0__c61d7abd__c0.mp4,0.9967407584190369,0.9908304214477539,0.014147542,0.008315906,0.00940083,0.0010849237,0.1875,0.023222864,0.010859946,-0.0047467127,-0.0003986003347112632,0.008573823,0.09444451332092285,0.010766707,0.009881169,0.106810674,0.020777329802513123,0.096929505,0.25,0.12016423,0.10530446,0.09604397,-0.00015433181399517583,0.0062541403,0.0,0.013976872,0.006209433,1.0000001,0.9937907,0.1875,1.0000001,0.9914565,0.98602325,-0.00017962710729789257,0.003776135
exact-r1__338cad74e1b34cf14302e8a7a7770bff072e14d8__爆炸菇（爆炸后）__v343__coffee__cc41379d__c0.mp4,0.9565062522888184,0.8922052383422852,0.012355208,0.011198372,-0.00076186657,-0.011960238,0.21875,0.024647117,-0.0006283452,-0.013117075,-5.92128474735095e-05,0.008812431,0.3060753047466278,0.08877163,-0.022786558,0.32558578,0.019487999379634857,0.34837234,0.125,0.36711353,0.30544695,0.23681416,0.001502130431863229,0.032764353,0.0,0.14691103,0.068264246,1.0000001,0.9317359,0.15625,1.0000001,0.9024631,0.8530891,-0.0011442042887210696,0.03550689
exact-r1__64f24c794aa94f916e4cfb3d08239c8cce08ae8b__爆炸菇（爆炸后）__v638__flag__c23892c5__c0.mp4,0.996178925037384,0.9906383752822876,0.019194916,0.0024612844,-0.023528606,-0.02598989,0.1875,-0.022655468,-0.030052181,-0.04272352,-0.00013099020398891156,0.005115121,0.06346213817596436,0.010731623,-0.0066555217,0.03511653,0.020988361909985542,0.041772053,0.15625,0.041772053,0.033409957,0.024384908,0.00013750540147210573,0.004742774,0.0,0.07678896,0.076768875,1.0,0.9232311,0.34375,1.0,0.9615563,0.92321104,-0.003025794516473193,0.028674968
base-noprop__05ac9abf4092d7eda364b995ce814f0c2859bf3c__毒蘑菇__v0__64ae6c86__c0.mp4,0.9891985654830933,0.9430668950080872,0.03322476,-0.0022735596,0.008176863,0.010450423,0.0625,0.02115488,0.008287622,-0.025047898,-3.6479222459875735e-06,0.00868397,0.5288307070732117,0.043670475,0.005945921,0.52896464,0.003373192623257637,0.5230187,0.21875,0.5958306,0.5371183,0.48529416,-0.000989653880208109,0.028255058,0.06451612903225806,0.06346649,0.025570154,1.0,0.97442985,0.25,1.0,0.9639323,0.9365335,-0.0008872374782988355,0.020188797
exact-r1__4750d9b5e622a065f63c02791c5880240fb4ec9a__爆炸菇（爆炸后）__v455__glasses__5c410dcd__c0.mp4,0.9873340129852295,0.9447831511497498,0.00016719103,-0.02240625,0.036508143,0.058914393,0.21875,0.07793811,0.057129797,0.036340952,0.0010033386357980753,0.012171065,0.38600337505340576,0.08606094,0.08606094,0.47398087,0.029735751450061798,0.38791993,0.125,0.50708824,0.44313315,0.38791993,-0.0032909789349326543,0.037388474,0.0,0.10071379,0.0924139,0.9999998,0.9075859,0.03125,0.9999998,0.93663394,0.89928603,-0.0030845545691129176,0.034319613
exact-r1__78ef7e5e758387759b0edeb5d288c14dd38efee1__毒蘑菇__v754__flag__3596f3a9__c0.mp4,0.9766743183135986,0.9093923568725586,0.005581677,-0.054076105,-0.041039348,0.013036758,0.3125,0.014841616,-0.009817695,-0.046621025,0.0020840476837850376,0.02166521,0.4078611135482788,0.08528572,-0.03338954,0.40214384,0.006894972175359726,0.43553337,0.125,0.43858403,0.3980434,0.3168581,0.0014710253394069636,0.031730987,0.0967741935483871,0.16976708,0.107212305,1.0,0.8927877,0.09375,1.0,0.903198,0.8302329,-0.003173291715970822,0.045448296
exact-r1__4ad750ed37eb0ade2e0d9bf6801c7c417a005531__粽子菇__v478__glasses__d4b6bdd0__c0.mp4,0.9247161746025085,0.8189688920974731,0.094592154,0.09213936,0.08175105,-0.010388315,0.1875,0.08405995,0.030959837,-0.012841105,-0.0017280185109009832,0.029482314,0.41923660039901733,0.16904417,-0.06834608,0.45479202,0.010941428132355213,0.5231381,0.15625,0.5424683,0.45019644,0.28574786,0.003931578237814648,0.06502956,0.25806451612903225,0.4419136,0.42602587,1.0,0.57397413,0.1875,1.0,0.7295369,0.5580864,-0.010501969125001637,0.105135836
exact-r2__60a81de5057115bd0b3452e8e8309f1f536ac3b7__毒蘑菇__v609__scooter__51bd992f__c0.mp4,0.9709832668304443,0.917589545249939,0.0049833506,-0.21594332,-0.2115985,0.004344821,0.3125,0.011572838,-0.100235924,-0.21658185,0.009751239182465753,0.09539721,0.28003984689712524,0.0020948872,-0.2473862,0.04135661,0.005299865733832121,0.2887428,0.3125,0.3326252,0.17980392,0.03926172,0.011649867340845882,0.11227955,0.06451612903225806,0.7024927,0.7024927,0.9999998,0.2975071,0.25,0.9999998,0.7221799,0.2975071,-0.027477035916183664,0.26395446
exact-r2__5f7fb1ceb4b48f45e4f8bd8b3b86312976e2872e__吐司菇__v598__scooter__b4fb54ed__c0.mp4,0.9688218832015991,0.9026944637298584,0.026227921,-0.013489753,-0.038065225,-0.024575472,0.1875,-0.023004055,-0.04026708,-0.064293146,0.00019908221192723369,0.009823166,0.4579031467437744,0.08602619,-0.043414295,0.41833365,0.014619898051023483,0.46174794,0.125,0.49017322,0.4176361,0.33230746,0.00048716305113259174,0.033010986,0.0,0.23591918,0.1259101,1.0000002,0.87409014,0.09375,1.0000002,0.9238024,0.76408106,-0.005621486963414697,0.063512936
exact-r1__b4bc5d9a39711e181bd7233cb5e38a348642950f__粽子菇__v1116__bubble__457c7996__c0.mp4,0.9708911180496216,0.8746589422225952,0.057498068,0.024442911,0.040021777,0.015578866,0.125,0.07555157,0.034133967,-0.01747629,-0.001164705795713882,0.023153538,0.4379916787147522,0.24444112,0.15296343,0.5593728,0.007416917011141777,0.40640935,0.1875,0.62216955,0.47212565,0.31493166,-0.008150284656506471,0.103241876,0.1935483870967742,0.4997419,0.47698206,0.99999994,0.5230179,0.25,0.99999994,0.744122,0.500258,-0.020015951322495392,0.20050102
exact-r1__b6f0ebc5fde8d5c7e26e23c7ad4b472e8dc0a955__蘑菇力__v1139__crown__0b1fbd3d__c0.mp4,0.9371077418327332,0.572931170463562,0.025271624,0.0147637725,-0.031565636,-0.04632941,0.15625,0.037143618,-0.027348604,-0.05683726,-0.001325616137810117,0.023285823,0.4762406647205353,0.13251436,-0.10911551,0.39072186,0.013804234564304352,0.49983737,0.21875,0.5576571,0.44889206,0.2582075,0.002308466288744533,0.055608578,0.06451612903225806,0.5597271,0.41816652,0.9999999,0.58183336,0.03125,0.9999999,0.66363376,0.4402728,-0.014228881115525326,0.17801782
exact-r1__64f05b3d914bb69ca68d1d101fb3ac8bca6ac483__炸虾菇__v637__scooter__6ecc2e35__c0.mp4,0.977179229259491,0.8845813870429993,0.014962643,-0.0033240914,-0.01249212,-0.009168029,0.0625,-0.0007676184,-0.010828618,-0.027454764,6.229916308894507e-05,0.0047227866,0.2910309433937073,0.08772981,-0.02024585,0.28633064,0.018105462193489075,0.3065765,0.15625,0.33096576,0.28020233,0.19860083,-0.000175902087383424,0.035589416,0.0,0.14368534,0.04148376,0.9999999,0.9585161,0.125,0.9999999,0.95140976,0.85631454,-0.0011383215746571672,0.033190295
exact-r1__d43f45e1575283f7a4947a8817a222ab1e2f44ae__炸虾菇__v1318__crown__72012d99__c0.mp4,0.9925347566604614,0.9686821699142456,0.008278482,-0.0067683533,-0.007149972,-0.00038161874,0.15625,0.0029929727,-0.004127779,-0.015428454,0.0001802065551739807,0.0041494477,0.11508728563785553,0.028369002,0.02776993,0.12418746,0.0035659822169691324,0.09641753,0.1875,0.13776612,0.1109595,0.09581846,-0.0005934033338035093,0.009640787,0.06451612903225806,0.067141116,0.04528749,1.0,0.9547125,0.09375,1.0,0.96716785,0.9328589,-0.0015522875984218094,0.017674588
base-noprop__c3ad0151cf012ab92fe134a98d4a74d428a02c98__炸虾菇__v0__835debb4__c0.mp4,0.9883479475975037,0.9586559534072876,0.008359015,-0.000893116,-0.0060688257,-0.0051757097,0.21875,0.026224911,0.0040724752,-0.014427841,-0.00017236899092924532,0.00919765,0.533801257610321,0.031025171,-0.010509372,0.51124775,0.030589120462536812,0.5217571,0.1875,0.58742297,0.5378738,0.48022258,-0.0008335914080443512,0.027533252,0.0,0.078311265,0.015288353,1.0,0.98471165,0.09375,1.0,0.9527334,0.92168874,-0.00037048877246917075,0.027085641
generic__3e0263de42d2cb0db2374a5b45278fcc7a471c0b__炸虾菇__v226__flag__7051c29c__c0.mp4,0.9799595475196838,0.8551198244094849,0.021699488,0.019110441,-0.07672748,-0.09583792,0.21875,-0.072975814,-0.08625167,-0.09842697,-0.00043573328826434636,0.0073566292,0.43050122261047363,0.07576379,0.009264439,0.3673275,0.005754622630774975,0.35806307,0.25,0.39353383,0.34424955,0.29156372,-0.00023977531671873052,0.027775766,0.06451612903225806,0.10967314,0.105342746,1.0000001,0.8946574,0.1875,1.0000001,0.9295781,0.890327,-0.0032680010712566017,0.0345376
exact-r1__2495cb6a02eecbe6b15ad5481af9e0812f316e44__炸虾菇__v230__eyemask__37c59cc4__c0.mp4,0.9974515438079834,0.9913535714149475,0.0058823526,-0.0046091676,-0.014788508,-0.010179341,0.21875,-0.007965118,-0.012737032,-0.020670861,0.0002184196421739987,0.0031327528,0.1736195683479309,0.00771378,-0.0437212,0.13801765,0.013819522224366665,0.18173885,0.21875,0.19237457,0.16088253,0.13030387,0.001476127255565962,0.01760333,0.0,0.024989009,0.022869647,1.0000001,0.9771305,0.15625,1.0000001,0.9848651,0.9750111,-0.0007601713220919041,0.007815205
base-noprop__56bc114155a57e47100a6759d7b78d0befdb0a1f__蘑菇力__v0__fdcdf91b__c0.mp4,0.9960297346115112,0.9897118210792542,0.008348495,0.005692929,-0.03630227,-0.041995198,0.1875,-0.028498948,-0.036530036,-0.044650763,5.918467018611118e-05,0.00357748,0.31897586584091187,0.045109093,-0.0064692497,0.29662842,0.026338893920183182,0.30309767,0.15625,0.3046169,0.28244585,0.25151932,-0.00035714455866568245,0.014150066,0.0,0.025534391,0.011252284,1.0000001,0.98874784,0.1875,1.0000001,0.98479795,0.9744657,-0.00044326698325594877,0.007369291
exact-r2__044176e563bd0ca37fa16a6ebe34899138633a40__粽子菇__v28__coffee__6edeef2d__c0.mp4,0.9564389586448669,0.8543256521224976,0.020990238,0.003078863,0.027828544,0.024749681,0.1875,0.06143388,0.03186237,0.006838307,0.000856520400500018,0.015167525,0.20555120706558228,0.044359922,0.044359922,0.23207007,0.009149386547505856,0.18771015,0.125,0.31885347,0.23741359,0.18771015,0.0005870490386819965,0.033075444,0.2903225806451613,0.15794444,0.08222091,1.0,0.9177791,0.125,1.0,0.91261506,0.84205556,-0.0016812206494493417,0.03692715
exact-r1__63f03d9dd9794eff85cfc7b301e8768d91c5ed15__爆炸菇（爆炸后）__v628__scooter__1e4ffb85__c0.mp4,0.9452599883079529,0.666246235370636,0.031510442,-0.024115222,-0.015149713,0.008965509,0.15625,0.010811318,-0.0122080315,-0.046660155,0.0008760973987991634,0.015856888,0.08298921585083008,0.06474201,0.06474201,0.056241907,0.004091755021363497,-0.008500097,0.0,0.3462414,0.070781186,-0.008500097,0.00017032850106298722,0.08521836,0.22580645161290322,0.62523776,0.10941374,1.0000001,0.8905864,0.15625,1.0000001,0.86559975,0.37476236,-0.0074956760116336495,0.1640317
