rel,style,group,s_top1_fg_max,s_top1_fg_p75,s_top1_fg_mean,s_top1_all_max,s_top1_all_p75,s_top1_all_mean,s_top5_fg_max,s_top5_fg_p75,s_top5_fg_mean,s_top5_all_max,s_top5_all_p75,s_top5_all_mean,s_hist_max,s_hist_p75,s_hist_mean
基础款/6595.mp4,基础款,bad,0.4518345296382904,0.4452601745724678,0.4323875792324543,0.4459054172039032,0.4371991828083992,0.4304090216755867,0.41526442766189575,0.3945813253521919,0.3850278928875923,0.4067957401275635,0.3959467336535454,0.39299325458705425,0.5308917954815695,0.48537983881622415,0.46564418461267454
基础款/6605.mp4,基础款,bad,0.4805772602558136,0.47623273730278015,0.4692687951028347,0.4983084499835968,0.4903390109539032,0.4889798853546381,0.44240450859069824,0.43881700187921524,0.43534682504832745,0.47039076685905457,0.46502237766981125,0.463499853387475,0.4914431673052363,0.42874978766774247,0.4229985477886402
星月款/6612.mp4,星月款,bad,0.4785970151424408,0.46505652368068695,0.4592009652405977,0.5039585828781128,0.4996076375246048,0.4962670486420393,0.41017845273017883,0.40395332872867584,0.3963639438152313,0.45946189761161804,0.457043819129467,0.4541511572897434,0.39172413793103444,0.36916256157635463,0.359795179827879
基础款/6622.mp4,基础款,bad,0.4586181640625,0.4294281005859375,0.42140536941587925,0.4802769124507904,0.4540012776851654,0.4472143966704607,0.4140160083770752,0.3839012384414673,0.3770120535045862,0.42658188939094543,0.4071044847369194,0.4038711991161108,0.47994503696918145,0.45977011494252873,0.43579337513357586
基础款/6655.mp4,基础款,bad,0.5721958875656128,0.5581370741128922,0.5523232072591782,0.5857456922531128,0.581787109375,0.5736639760434628,0.5128487944602966,0.5000356063246727,0.49542894773185253,0.5527451634407043,0.5494662821292877,0.5431599356234074,0.5131034482758621,0.4862068965517241,0.477227379404625
基础款/6670.mp4,基础款,bad,0.4022216796875,0.394317626953125,0.3908233642578125,0.509765625,0.4889613464474678,0.4771597720682621,0.3509114682674408,0.3393525630235672,0.3279170300811529,0.43528836965560913,0.4286920949816704,0.42438641749322414,0.36442330558858504,0.3443085517996338,0.3380662114892198
基础款/6686.mp4,基础款,bad,0.4697963297367096,0.4281485453248024,0.4219923485070467,0.4784284234046936,0.4572405219078064,0.4436296746134758,0.3789740800857544,0.3652375862002373,0.3527895975857973,0.40611717104911804,0.3960625231266022,0.38832720927894115,0.6250862068965518,0.4241025895098428,0.41529784014460713
森林款/6706.mp4,森林款,bad,0.55584716796875,0.5366414487361908,0.5289202779531479,0.5491071343421936,0.5308314710855484,0.5206298828125,0.5119977593421936,0.4968913644552231,0.48892027884721756,0.4881232678890228,0.48155391216278076,0.47396087646484375,0.4896551724137931,0.46832007073386384,0.4518585959720026
基础款/6726.mp4,基础款,bad,0.4740397036075592,0.4542575478553772,0.4474385567009449,0.492431640625,0.4819989949464798,0.4814627543091774,0.4002241790294647,0.38384316861629486,0.3779345415532589,0.43633314967155457,0.4343468248844147,0.43109893798828125,0.507183908045977,0.4696479885057471,0.4573635057471265
甜品款/6733.mp4,甜品款,bad,0.6248372197151184,0.5916747897863388,0.5696254279464483,0.6413225531578064,0.5888933539390564,0.57783617451787,0.6086588501930237,0.5700092315673828,0.5432844441384077,0.6112491488456726,0.5655760020017624,0.5510837286710739,0.9283410242930483,0.7391054720376466,0.6227210934700718
冰晶款/6749.mp4,冰晶款,bad,0.4573025107383728,0.4138861820101738,0.3901490084826946,0.4831368625164032,0.427254818379879,0.41927991434931755,0.3457139730453491,0.321632944047451,0.31473086401820183,0.3926176130771637,0.362482413649559,0.358440849930048,0.5557029177718833,0.5140485312899107,0.4971694352541126
星月款/6759.mp4,星月款,bad,0.444580078125,0.4301757737994194,0.4121500626206398,0.5134451985359192,0.5066441148519516,0.5004337877035141,0.4007812440395355,0.3817024230957031,0.3678560722619295,0.4627470076084137,0.4550781175494194,0.4508213698863983,0.47745358090185674,0.4617421364505717,0.45228434799373013
潜水款/6768.mp4,潜水款,bad,0.522064208984375,0.492828369140625,0.47220802307128906,0.5302909016609192,0.5209743082523346,0.5027280542999506,0.5034367442131042,0.4383675679564476,0.41221093386411667,0.4948371350765228,0.46411221474409103,0.45295109041035175,0.6206896551724138,0.5802615933412603,0.43925670945736345
基础款/6774.mp4,基础款,bad,0.4699435830116272,0.458326555788517,0.453208077698946,0.4863106906414032,0.47265625,0.46617126278579235,0.42315536737442017,0.4210774675011635,0.40982262417674065,0.44257667660713196,0.4379308447241783,0.43535299971699715,0.5960591133004927,0.5135666613697759,0.43318057825379774
基础款/6787.mp4,基础款,bad,0.499267578125,0.49444580078125,0.48861449025571346,0.5187464952468872,0.5079433023929596,0.5044969823211432,0.45071572065353394,0.44674523174762726,0.44353925809264183,0.48493868112564087,0.4809013828635216,0.47778141126036644,0.4978653530377668,0.456684350132626,0.4483559570947127
基础款/6806.mp4,基础款,bad,0.581787109375,0.5713577270507812,0.5102043151855469,0.5754569172859192,0.56732177734375,0.5246876310557127,0.5628138780593872,0.5589288920164108,0.48399562388658524,0.5573443174362183,0.5530296713113785,0.4960477463901043,0.8758145065398335,0.5984089236170094,0.47946816395389524
基础款/6814.mp4,基础款,bad,0.4532335102558136,0.4390326589345932,0.42882283218204975,0.4852992594242096,0.4733276292681694,0.470703125,0.40541771054267883,0.38721368461847305,0.3787747621536255,0.44343116879463196,0.4376130923628807,0.43444016203284264,0.34150702426564494,0.2950404664186261,0.29054778475303195
基础款/6833.mp4,基础款,bad,0.4640066921710968,0.4363948181271553,0.4275436382740736,0.5883265733718872,0.5737173706293106,0.5500553641468287,0.4157308042049408,0.3905138075351715,0.3797951303422451,0.5028901696205139,0.4842681959271431,0.4726836234331131,0.4644382789448188,0.44896863386756375,0.41721573550200186
森林款/6853.mp4,森林款,bad,0.562652587890625,0.4785330593585968,0.47541454806923866,0.5625872015953064,0.5113612562417984,0.4970365222543478,0.49711528420448303,0.43476706743240356,0.428307481110096,0.5175924897193909,0.47460757941007614,0.46100122667849064,0.5880521277822627,0.5038047399819099,0.4685414873033779
基础款/6868.mp4,基础款,bad,0.4701063334941864,0.4375678151845932,0.4355231374502182,0.4668666422367096,0.44671630859375,0.44429888017475605,0.4044053852558136,0.3893473446369171,0.3862310126423836,0.4184354841709137,0.4062248766422272,0.4048313833773136,0.457799671592775,0.4483784893267653,0.4193081598601621
