stem,det_rate,area_mean,area_cv,area_max_ratio,c_cons_min,c_cons_bot3,c_cons_mean,c_cons_std,c_self_min,c_self_std,c_first_last
d65146967bd5d8b3d6a20372a090f892,1.0,0.09391044825315475,0.03166956827044487,1.1184306144714355,0.9552467465400696,0.9631145596504211,0.9793038964271545,0.010539041832089424,0.966340184211731,0.00783469621092081,0.9426161050796509
623283031144918701ff00756bbff9e5,1.0,0.03787272050976753,0.28424525260925293,4.260051250457764,0.6839459538459778,0.700228214263916,0.9113050103187561,0.12199992686510086,0.7541238069534302,0.07130991667509079,0.8742440342903137
4f95a8bc31851629a3a3d20087ed3083,1.0,0.03481358289718628,0.0217733271420002,1.0644973516464233,0.9804086089134216,0.9826372265815735,0.9909544587135315,0.005139680113643408,0.95216965675354,0.011027391999959946,0.9194356799125671
1dde93293abd56023af8238960979b3b,1.0,0.19724714756011963,0.20895926654338837,2.010626792907715,0.9618359804153442,0.9730857014656067,0.986575722694397,0.008667978458106518,0.9656925797462463,0.007212424650788307,0.950587272644043
f9a84abe86a77763fb64a7407043d881,1.0,0.06213605776429176,0.6981566548347473,5.078897476196289,0.697424054145813,0.7659403681755066,0.9381285309791565,0.09250172227621078,0.7744433879852295,0.06604719907045364,0.8838467597961426
a400e3f6d8a03acf45c1ebe779aaa5f6,1.0,0.09593343734741211,0.2872704863548279,2.1352550983428955,0.505468487739563,0.5182297229766846,0.8822221755981445,0.18234245479106903,0.641891360282898,0.10896627604961395,0.5125334858894348
dcc37d479ecbd69ee0dcfd7e6c993c43,1.0,0.05564964935183525,0.06988600641489029,1.3578953742980957,0.9537721276283264,0.9596368670463562,0.9804390072822571,0.013535652309656143,0.965303361415863,0.007064804434776306,0.9369703531265259
34f61dc6f45300466b2c4b9161f7bfde,1.0,0.028385192155838013,0.033225320279598236,1.1271566152572632,0.9462625980377197,0.959766685962677,0.9836279153823853,0.014797832816839218,0.94191974401474,0.012976052239537239,0.9255729913711548
8fa1bc8fc96667f6bb7fe02c24bc229e,1.0,0.14029362797737122,0.25622624158859253,2.235671281814575,0.975587010383606,0.9770157337188721,0.984744668006897,0.006344587542116642,0.9475418329238892,0.011909629218280315,0.9144952297210693
4b2a46fa5e2cbcd9030620ae6b6d7ca8,1.0,0.10056152194738388,0.5598413348197937,5.69911527633667,0.6311202049255371,0.6390399932861328,0.8969778418540955,0.1525181233882904,0.8026016354560852,0.05246852710843086,0.9086859226226807
0180643b8a4cbea0dacee2ec07c30abc,1.0,0.020751897245645523,0.027964066714048386,1.101043462753296,0.9046225547790527,0.9453064799308777,0.9770413041114807,0.02131393924355507,0.8995870351791382,0.02187265455722809,0.8462427854537964
dca64229e6f2cd19c3998f97df1663f7,1.0,0.3561708629131317,0.010787623934447765,1.0313520431518555,0.9722259044647217,0.9777800440788269,0.9873834848403931,0.00710995402187109,0.9703062176704407,0.0058700526133179665,0.9512490630149841
ffc1bfa0600c3f0b3fd74c020188a0f4,1.0,0.05978889390826225,0.23990561068058014,1.8249186277389526,0.9405292272567749,0.9489006996154785,0.9739235639572144,0.01608479581773281,0.9578859210014343,0.01002234872430563,0.9304864406585693
df54912f8a3235fc03d35bb3e1db48a1,1.0,0.10470427572727203,0.06151562184095383,1.2124063968658447,0.9629555940628052,0.972320020198822,0.9849594831466675,0.007589107844978571,0.9847543239593506,0.0032270627561956644,0.9806545972824097
6bfb66da4da9e4e4edc452b7b1e81a40,1.0,0.01728273741900921,0.00890252273529768,1.0347075462341309,0.9751759171485901,0.978369951248169,0.9881582260131836,0.005716551560908556,0.9859457015991211,0.002728821011260152,0.9837631583213806
aa980fb1688b7d6e88524e3ce3234ed4,1.0,0.04843779653310776,0.5022736191749573,2.8593289852142334,0.5949192047119141,0.6005925536155701,0.8108848929405212,0.1803712099790573,0.8417060971260071,0.044187963008880615,0.6268469095230103
a8678b183370e015a1d39e69fc4bc2d7,1.0,0.07565656304359436,0.0334189273416996,1.147613525390625,0.9429620504379272,0.9566996693611145,0.9762712717056274,0.012981404550373554,0.962067723274231,0.009268764406442642,0.9267759323120117
adf18ffe3824df02b6f1db0037fcf60d,1.0,0.10329760611057281,0.8504887819290161,9.312994956970215,0.5928980112075806,0.6001293659210205,0.8840939998626709,0.16879476606845856,0.7126936912536621,0.08884531259536743,0.9413369297981262
066e39f4afb2254d3085e4e8a1172493,1.0,0.028000175952911377,0.007361831609159708,1.030890941619873,0.9536075592041016,0.9747611880302429,0.9906197786331177,0.010769050568342209,0.9574360251426697,0.00906893890351057,0.9529540538787842
ed384e646526c8e9444462ff18d20306,1.0,0.03538411110639572,0.0709187462925911,1.4066797494888306,0.9615992903709412,0.9761946201324463,0.9903199672698975,0.008849181234836578,0.9668627977371216,0.006730617955327034,0.9519065618515015
93fe14ec32db9d9088988f2237dc5e9d,1.0,0.21611450612545013,0.9841720461845398,10.063369750976562,0.7262700200080872,0.7488090991973877,0.8661558628082275,0.1097307801246643,0.8943964242935181,0.02437697909772396,0.9314092397689819
41cc014dc3ef427a70e03e8da72c2ad0,1.0,0.11682216078042984,0.9340794086456299,13.046051979064941,0.6241493225097656,0.6313326954841614,0.7838910222053528,0.16468916833400726,0.8829551339149475,0.017635749652981758,0.6458078622817993
4035b700ddc3d6f9445416904a20a9bc,1.0,0.02438565157353878,0.1417851597070694,1.9236992597579956,0.9233884215354919,0.9327242374420166,0.964403510093689,0.01930057816207409,0.943927526473999,0.01388322003185749,0.9249026775360107
784ca61b706317b3fd3a35a82341f09f,1.0,0.19207893311977386,0.4205711781978607,2.9289445877075195,0.9272817373275757,0.9492741227149963,0.9806007146835327,0.01834937185049057,0.9618725776672363,0.007285709492862225,0.9640287756919861
d46b1f8dde6151afc082eaed3dbc0602,1.0,0.8124316334724426,0.01984938606619835,1.0703203678131104,0.9796679615974426,0.9808064103126526,0.9899351000785828,0.00550655135884881,0.9679771065711975,0.007729807402938604,0.9473674297332764
affe01b145a1520805cb9af501dd8475,1.0,0.052967049181461334,0.05886470898985863,1.2146416902542114,0.9683094620704651,0.9693883061408997,0.9826646447181702,0.00895716343075037,0.9824361801147461,0.00377467623911798,0.9604818820953369
921e9f4257d8847617c0e423f1499813,1.0,0.17650817334651947,0.4747369587421417,2.8338706493377686,0.7286181449890137,0.7328162789344788,0.8930755257606506,0.12520988285541534,0.9014489054679871,0.008248643949627876,0.9323557615280151
3214e88e0de91722f09a76c892a10a4d,1.0,0.192836731672287,0.012235179543495178,1.045706033706665,0.986662745475769,0.9893379211425781,0.9934071898460388,0.0027015425730496645,0.9866089224815369,0.0026583722792565823,0.9764531850814819
acb7776d2f71a3283a8633ecab9fdab3,1.0,0.05065883323550224,0.5249584913253784,6.701912879943848,0.8477813005447388,0.892113983631134,0.9674473404884338,0.04141467064619064,0.8766749501228333,0.037028998136520386,0.8194515109062195
3ce4280eef9f1f905b951efccc1c0db7,1.0,0.20118942856788635,0.5252902507781982,7.027975559234619,0.7655864953994751,0.7812530398368835,0.9504128694534302,0.0849369615316391,0.875260055065155,0.041080720722675323,0.7912886142730713
7612093cc5f5586b0cb993ae670e94fc,1.0,0.7708232998847961,0.00913834199309349,1.02694571018219,0.9672358632087708,0.9707388877868652,0.9873901605606079,0.00995410606265068,0.9774380326271057,0.004521469585597515,0.9796708822250366
25a22289e8f1abf807ccbb78fbbdd670,1.0,0.1448754519224167,0.024323970079421997,1.0919015407562256,0.981135368347168,0.982954204082489,0.9901782870292664,0.004739795811474323,0.9685204029083252,0.005598039831966162,0.936285138130188
9d967f66a02727cddfb8faef03e2c8a0,1.0,0.084095299243927,0.13276943564414978,1.5515754222869873,0.9514909982681274,0.9606590270996094,0.9760882258415222,0.01013471744954586,0.9487202167510986,0.009745437651872635,0.8950937986373901
e3584577fed68da28f382dc5c500592a,1.0,0.13054801523685455,0.4717714488506317,2.8044495582580566,0.8195235729217529,0.8270772099494934,0.9165283441543579,0.0767948180437088,0.9381595849990845,0.007103809621185064,0.8346755504608154
9dfd08e4d9e3f58c189359a5aab7517a,1.0,0.09342636168003082,0.01760060153901577,1.0718410015106201,0.9506040811538696,0.9578673839569092,0.9814741611480713,0.013649875298142433,0.971031665802002,0.007898081094026566,0.9599143862724304
8c4f4457d8edcc69d90ff5c87c913822,1.0,0.0498664565384388,0.679771900177002,8.57235336303711,0.7748515009880066,0.8531611561775208,0.952046275138855,0.05855034664273262,0.8776252865791321,0.023407965898513794,0.9567461609840393
44bf00670d664b44362cf902e7a16f75,1.0,0.06289510428905487,0.02572581171989441,1.1043202877044678,0.9411979913711548,0.9535406231880188,0.9796409010887146,0.015642965212464333,0.9477840662002563,0.011144940741360188,0.914393424987793
9220df86-4ab7-4510-9b4d-aa0b1a660578,1.0,0.05044504255056381,0.02964535541832447,1.102447509765625,0.9646788835525513,0.9652101993560791,0.9799835681915283,0.00928131490945816,0.9715851545333862,0.005501840263605118,0.9602034687995911
4aa88f5dd71d2391966dbf3053b4c889,1.0,0.04719230532646179,0.0223615113645792,1.0802767276763916,0.9752786159515381,0.9764476418495178,0.985958456993103,0.0063369134441018105,0.9713001847267151,0.005359024740755558,0.9585479497909546
d9a0a72b4d5a54583cac5f8a0fe0e3c7,1.0,0.15045461058616638,0.03945973142981529,1.1567391157150269,0.9659749269485474,0.9684661030769348,0.9832391738891602,0.0096827931702137,0.9753937125205994,0.005511790979653597,0.9650149345397949
d9333173af83d0b0613ff5c4a23ad060,1.0,0.20208483934402466,0.14007389545440674,1.7142176628112793,0.8510371446609497,0.8758261799812317,0.9684893488883972,0.048027146607637405,0.9367039799690247,0.01219816505908966,0.8089847564697266
