rel,style,group,s_top1_fg_max,s_top1_fg_p75,s_top1_fg_mean,s_top1_all_max,s_top1_all_p75,s_top1_all_mean,s_top5_fg_max,s_top5_fg_p75,s_top5_fg_mean,s_top5_all_max,s_top5_all_p75,s_top5_all_mean,s_hist_max,s_hist_p75,s_hist_mean
冰晶款/5697.mp4,冰晶款,eval_good,0.5463518500328064,0.542327880859375,0.5306342095136642,0.6015625,0.594194695353508,0.5840356014668941,0.5105522871017456,0.5038812160491943,0.4947138372808695,0.5432236790657043,0.5356355607509613,0.5306434631347656,0.5349980182322631,0.44268865567216387,0.42347374684305356
冰晶款/6143.mp4,冰晶款,eval_good,0.7409319281578064,0.7290867269039154,0.7264030985534191,0.7588239312171936,0.748639777302742,0.7478915639221668,0.7070521712303162,0.7016102224588394,0.6990701593458652,0.7317845821380615,0.7252017706632614,0.7241088673472404,0.5196151924037982,0.4720114942528736,0.4549636292964629
冰晶款/6457.mp4,冰晶款,eval_good,0.7579345703125,0.7335902750492096,0.6913514360785484,0.7702288031578064,0.74237060546875,0.7108884528279305,0.7383149266242981,0.6970324218273163,0.6565477438271046,0.742180347442627,0.7135974764823914,0.6815831884741783,1.2194660734149054,0.5219345499663961,0.5388448865552569
冰晶款/6796.mp4,冰晶款,eval_good,0.542266845703125,0.5149459838867188,0.4931934904307127,0.5579136610031128,0.5543038696050644,0.5478134155273438,0.428496390581131,0.4149649441242218,0.40433403849601746,0.48797607421875,0.4798126146197319,0.47648216411471367,0.6052759061082486,0.5061434799841459,0.4136414195748322
冰晶款/6869.mp4,冰晶款,eval_good,0.495025634765625,0.486907958984375,0.4802536442875862,0.6203787922859192,0.6139788031578064,0.5935603491961956,0.448974609375,0.442999430000782,0.43357990495860577,0.542656421661377,0.5350548177957535,0.527155265212059,0.42893380895759015,0.377145814066147,0.33476307652139997
冰晶款/6945.mp4,冰晶款,eval_good,0.614715576171875,0.6067581176757812,0.5965780541300774,0.6283482313156128,0.6232343316078186,0.6172757782042027,0.5339646339416504,0.5277895480394363,0.5197245366871357,0.5751127600669861,0.5699041038751602,0.5669149458408356,0.38798349304049795,0.3566482478841715,0.3155362166218436
冰晶款/7043.mp4,冰晶款,eval_good,0.6722412109375,0.6300397664308548,0.6137864254415035,0.6684046983718872,0.6553388237953186,0.6467339657247066,0.6408149003982544,0.5931040346622467,0.5773060508072376,0.6411599516868591,0.6273606270551682,0.615674190223217,0.5578610406196614,0.36770765155056884,0.3391030961118756
冰晶款/7067.mp4,冰晶款,eval_good,0.66119384765625,0.6420026421546936,0.6382920444011688,0.6574358344078064,0.6419590711593628,0.6402969360351562,0.5877364277839661,0.57611083984375,0.5720743425190449,0.6116045713424683,0.6007358580827713,0.5969054289162159,0.5067466266866567,0.47448720084402246,0.46782612304222193
冰晶款/7093.mp4,冰晶款,eval_good,0.5720563530921936,0.5616455078125,0.5532817840576172,0.6227504014968872,0.6193673312664032,0.6153967715799809,0.5225287675857544,0.5147230625152588,0.5007578916847706,0.5750732421875,0.5681852698326111,0.56331342831254,0.41259370314842575,0.3931609195402299,0.38543487337527815
冰晶款/7217.mp4,冰晶款,eval_good,0.73828125,0.722564697265625,0.7185956090688705,0.7359532117843628,0.7286420464515686,0.7251592427492142,0.686141312122345,0.6646016538143158,0.6582384444773197,0.6947075128555298,0.6860647946596146,0.6834343187510967,0.508860153256705,0.47725235525473336,0.4710743928295578
冰晶款/7248.mp4,冰晶款,eval_good,0.7264927625656128,0.6960143893957138,0.6046908590942621,0.7381417155265808,0.706202894449234,0.6308310329914093,0.655078113079071,0.6237528622150421,0.5491938795894384,0.6851519346237183,0.6620267778635025,0.5877216532826424,0.7321703853955375,0.5540621447517999,0.5095734420192044
